Vals,Colour
13.354693230422281,Purple
13.441067652652652,BLUE
13.601099195491597,Green
13.682921475463111,Green
13.564465567716995,Purpal
13.203040390013436,BLUE
13.763565786205511,Blue
13.336256358314862,RED
13.439445462209498,green
13.085413269574946,Green
13.603134761177202,Green
13.64249436722248,Blue
13.507445613839097,red
13.693586340215223,RED
13.688680806417704,Red
13.458070174136906,Purple
13.331954106685618,Blue
13.321013174377835,Purple
13.68014481050439,Blue
13.384093726506808,Red
13.841358407926133,Blue
13.517930515214887,BLUE
13.289487819956116,RED
13.27172709434777,green
13.613303885006036,Blue
13.189286745351683,Purpal
13.581967248548903,Purple
14.045886513068284,BLUE
13.805538035625556,Purpal
13.222189016858648,Green
13.949782337547054,Purple
13.174579607807373,Purple
13.922186567590554,green
14.11134872277829,RED
13.471861735179823,BLUE
13.893017762975533,RED
13.220173849548995,BLUE
13.561037259843372,Purpal
13.315160453481876,red
13.576270297491754,RED
13.306778734624439,RED
13.779315121372025,Purpal
13.340706507746114,red
13.454396242918845,red
13.757780326022613,BLUE
13.20749564854433,RED
13.713016858602094,BLUE
13.660113351699372,BLUE
13.362933956734448,Purpal
13.36030760685341,Purpal
13.516626334023623,green
13.869374526188478,Blue
13.126634556177748,Purple
13.328324179556547,green
13.7181501041676,BLUE
14.081974039021933,Red
13.57560475453483,Red
13.443506455530601,Purpal
13.402514217272303,BLUE
13.325974220806912,Red
13.529204745096787,Purple
13.705889723873076,Green
13.207340217918201,Red
13.297492864935776,red
13.468705666900819,Blue
13.278697062134567,Green
13.391508518328716,red
13.44639863679577,RED
14.026809376536165,RED
12.984176775448473,RED
13.698580206333142,green
14.058787310800706,Red
13.552656744491555,Red
13.580276079963702,Red
13.469981031317711,Purpal
13.509617333457031,Green
13.409927967723572,RED
13.007523640964645,BLUE
13.246235717370508,green
13.719579639167978,BLUE
13.233636969027234,Purple
13.79966180254996,Green
13.689627066461858,Purpal
13.761759203881546,Red
13.475704155999635,Purpal
13.408215063012695,Green
13.71305450388587,red
13.459473925128405,Red
13.377698105678112,green
13.19155956487178,red
13.428370497847165,green
13.237546013330687,green
13.859407649580527,BLUE
13.462068075662596,Purpal
13.454285084128871,Purpal
13.954436802596721,Blue
13.329436347548405,BLUE
13.400186330402299,Purple
13.506343277044997,Purple
13.174608852973806,Blue
13.430469676901685,RED
13.551627020088775,green
13.474100424525463,Red
13.658202148606168,green
13.694194962010195,RED
13.621154346379887,RED
13.463724517960408,Purpal
14.015677026234415,Purple
13.288888846368506,BLUE
13.351709952704347,Green
13.836176779917927,Blue
13.802167630081442,Red
13.92163248627717,Purpal
13.526672738058527,Purple
13.610796272908297,green
13.413985942961453,Green
13.543407785129515,Purpal
13.408978587901401,RED
13.52668434266022,red
13.669900000624958,Blue
13.369343194483876,green
13.560315993719003,green
13.636548837548868,Purple
13.5305928190593,Red
13.548241516192261,Red
13.51674401408949,red
13.571860466497737,BLUE
13.722398571174093,Blue
13.671449683166235,Purpal
13.594380572992916,Purple
13.362230695210442,Purpal
13.657717554996518,RED
14.062438198243352,Purple
13.353407644257782,Green
13.398503684069851,Red
13.427682351042504,Red
13.338645035795915,green
13.455703938877986,BLUE
13.650069371392142,BLUE
13.77163474331655,Red
13.756500178504834,Blue
13.587810664242207,BLUE
13.75564623590266,green
13.60853293658052,Green
13.342164297091992,green
13.692357910256383,Purpal
13.682749815453371,red
13.66449489987668,RED
13.111295257602476,red
13.145676885824537,Blue
13.547884746526712,Blue
13.2956719122439,RED
13.552205161456354,Red
13.750603193846862,Red
13.683574111032342,BLUE
13.651345219304255,Purple
13.87756957674562,RED
13.614856190320324,Green
13.839886362828663,BLUE
13.200975207608346,BLUE
13.348720459640691,green
13.144974873090818,RED
13.71405332995027,BLUE
12.920428290661082,Red
13.67775387655599,RED
13.65768703461022,red
13.103307245790574,Purpal
13.511562952031495,Purpal
13.6209416583816,BLUE
13.629356404696068,BLUE
13.366732329864346,red
13.43125399060117,Green
13.65166043919086,red
13.715248919609274,RED
13.704309548870327,Green
13.309405323992585,Purple
13.450017166599311,green
13.396083710669346,Red
13.570258645205012,Red
13.462600304089415,Red
14.025402109623247,Green
13.83019053035683,RED
13.411778209602745,BLUE
13.710326448504519,Green
13.660190506954334,Green
13.11335846319628,green
13.550394104912138,Purpal
13.633153403140598,RED
13.229463422528791,Purple
13.653682871533087,Green
13.21625689592822,RED
13.653758490810453,Red
14.066992116478108,Blue
13.61815030693965,RED
13.804702211407471,Green
13.284356267746988,Green
13.592106633526585,green
13.567287835879723,Purpal
13.61243537333454,RED
13.75924087029957,Green
13.392835025734077,Blue
13.227920633757495,Red
13.701960456401074,green
13.563723488459423,BLUE
13.28290998418442,red
13.224154359108196,Blue
13.237098209690115,Purple
13.469228060725557,BLUE
13.794285005782001,Blue
13.859024987595058,Blue
13.482380258911018,red
13.231571978818802,BLUE
13.447913602048535,red
13.677246527758386,red
13.501008410002526,Red
13.765435206280374,Purple
13.744957117107732,green
13.49506760617741,red
13.58987433093536,Purple
13.958203737119282,BLUE
13.497935751697355,Purple
13.47162201114957,RED
13.46891121191533,RED
13.15873876642806,green
13.348660789491834,Purple
13.512089202395374,Green
13.518004113130148,Red
13.200267525062674,Blue
13.268926490361327,Red
13.895141106178496,Green
13.284980654287336,red
13.55827125810399,Green
13.026304143499702,Blue
13.196530791627942,Green
13.268626856740102,RED
13.667407009891478,Red
13.326424296656604,RED
13.665535923806695,Blue
13.47656944385199,BLUE
13.69753320443471,Purpal
13.946080274299895,red
13.43134918163782,green
13.468386782861873,green
13.622512741245096,green
13.36582993834558,Purpal
13.831925928038716,Green
13.445086856410885,Green
13.318315131169232,Blue
13.593619903923468,Red
13.7578622953504,Green
13.31409978223694,red
13.755497914138063,Purple
13.65539266587885,BLUE
14.019829703865046,green
13.366318521385762,Red
13.576319658814586,red
13.617464019749446,Purple
13.45956695013219,red
13.548455451597961,green
13.743813933659277,Purpal
13.560201469888287,Purple
13.539197425744801,Purpal
13.569869034639621,Green
13.270982930582793,Blue
13.370745041935748,Blue
13.63783659314819,Red
13.26577314331087,green
13.737743628804354,Green
13.289058712302594,Green
13.575774499114436,red
13.41042483559718,BLUE
13.539424130053481,green
13.71650429692559,Green
13.033119578315616,Red
13.419268258581741,BLUE
13.374886284436153,Green
13.386476912992941,Blue
13.691287861156031,green
13.692755583056195,red
13.195949165762735,Green
13.813051273015725,Red
12.99472823049708,RED
14.177718268701163,green
13.090930049290991,Purple
13.162338233156671,Purple
13.286516903928277,Purple
13.354899637564685,Purpal
13.130934018147074,red
13.674143145041553,Blue
13.391517769636843,Green
13.330173102668666,green
13.677858165110388,Red
13.479073922411876,green
13.301350717728155,BLUE
13.859650257631271,RED
13.688085534042855,Purpal
13.290680618812821,red
13.240753978824145,BLUE
